,Make,Model,Variant,Ex-Showroom_Price,Displacement,Fuel_Type,Body_Type,City_Mileage,Highway_Mileage,Electric_Range,Launch Month,Emission_Norm,Airbags,Type,Gross_Vehicle_Weight,Electric_Range,Battery,Power,Torque
0,Tata,Nano Genx,Xt,"Rs. 2,92,667",624 cc,Petrol,Hatchback,?23.6 km/litre,,,May,BS IV,,Manual,,,,38PS@5500rpm,51Nm@4000rpm
1,Tata,Nano Genx,Xe,"Rs. 2,36,447",624 cc,Petrol,Hatchback,?23.6 km/litre,,,May,BS IV,,Manual,,,,38PS@5500rpm,51Nm@4000rpm
2,Tata,Nano Genx,Emax Xm,"Rs. 2,96,661",624 cc,CNG,Hatchback,,,,May,BS IV,,Manual,,,,38PS@5500rpm,51Nm@4000rpm
3,Tata,Nano Genx,Xta,"Rs. 3,34,768",624 cc,Petrol,Hatchback,?23.6 km/litre,,,May,BS IV,,Automatic,,,,38PS@5500rpm,51Nm@4000rpm
4,Tata,Nano Genx,Xm,"Rs. 2,72,223",624 cc,Petrol,Hatchback,?23.6 km/litre,,,May,BS IV,,Manual,,,,38PS@5500rpm,51Nm@4000rpm
5,Tata,Nano Genx,Xma,"Rs. 3,14,815",624 cc,Petrol,Hatchback,?23.6 km/litre,,,May,BS IV,,Automatic,,,,38PS@5500rpm,51Nm@4000rpm
6,Datsun,Redi-Go,D,"Rs. 2,79,650",799 cc,Petrol,Hatchback,21.38 km/litre,24 km/litre,,April,BS IV,,Manual,,,,54PS@5678rpm,72Nm@4386rpm
7,Datsun,Redi-Go,T,"Rs. 3,51,832",799 cc,Petrol,Hatchback,21.38 km/litre,24 km/litre,,April,BS IV,,Manual,,,,54PS@5678rpm,72Nm@4386rpm
8,Datsun,Redi-Go,A,"Rs. 3,33,419",799 cc,Petrol,Hatchback,21.38 km/litre,24 km/litre,,April,BS IV,,Manual,,,,54PS@5678rpm,72Nm@4386rpm
9,Datsun,Redi-Go,S,"Rs. 3,62,000",799 cc,Petrol,Hatchback,21.38 km/litre,24 km/litre,,April,BS IV,,Manual,,,,54PS@5678rpm,72Nm@4386rpm
10,Datsun,Redi-Go,1.0 S,"Rs. 3,90,000",999 cc,Petrol,Hatchback,,,,April,BS IV,,Manual,,,,68PS@5500rpm,91Nm@4250RPM
18,Renault,Kwid,Rxt Amt 1.0,"Rs. 4,63,290",999 cc,Petrol,Hatchback,25.17 km/litre,,,March,BS 6,Driver frontal airbag,Automatic,,,,68PS@5500rpm,91Nm@4250RPM
19,Renault,Kwid,Climber Amt 1.0,"Rs. 4,84,490",999 cc,Petrol,Hatchback,25.17 km/litre,,,March,BS 6,Driver frontal airbag,Automatic,,,,68PS@5500rpm,91Nm@4250RPM
20,Renault,Kwid,Rxt (O) 1.0,"Rs. 4,40,990",999 cc,Petrol,Hatchback,25.17 km/litre,,,March,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,68PS@5500rpm,91Nm@4250RPM
21,Renault,Kwid,Rxt (O) Amt 1.0,"Rs. 4,70,990",999 cc,Petrol,Hatchback,25.17 km/litre,,,March,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Automatic,,,,68PS@5500rpm,91Nm@4250RPM
22,Renault,Kwid,Climber (O) Mt 1.0,"Rs. 4,62,190",999 cc,Petrol,Hatchback,25.17 km/litre,,,March,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,68PS@5500rpm,91Nm@4250RPM
23,Renault,Kwid,Climber (O) Amt 1.0,"Rs. 4,92,190",999 cc,Petrol,Hatchback,25.17 km/litre,,,March,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Automatic,,,,68PS@5500rpm,91Nm@4250RPM
24,Maruti Suzuki,Eeco,5 Str,"Rs. 3,52,136",1196 cc,Petrol,MPV,12 km/litre,15 km/litre,,Janaury,BS 6,Driver frontal airbag,Manual,1510 kg,,,73PS@6000rpm,101Nm@3000rpm
25,Maruti Suzuki,Eeco,7 Str,"Rs. 3,80,573",1196 cc,Petrol,MPV,12 km/litre,15 km/litre,,Janaury,BS 6,Driver frontal airbag,Manual,1540 kg,,,74PS@6000RPM,101Nm@3000rpm
26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,"Rs. 3,92,967",1196 cc,Petrol,MPV,11 km/litre,15 km/litre,,Janaury,BS 6,,Manual,1510 kg,,,73PS@6000rpm,101Nm@3000rpm
27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,"Rs. 4,66,057",1196 cc,CNG,MPV,,,,Janaury,BS 6,Driver frontal airbag,Manual,1510 kg,,,62PS@6000rpm,85Nm@3000rpm
28,Maruti Suzuki,Eeco,5 Str With Htr Cng,"Rs. 4,25,255",1196 cc,CNG,MPV,,,,Janaury,BS 6,Driver frontal airbag,Manual,1510 kg,,,62PS@6000rpm,85Nm@3000rpm
29,Maruti Suzuki,Alto K10,Lxi,"Rs. 3,77,588",998 cc,Petrol,Hatchback,14 km/litre,17 km/litre,,August,BS IV,Driver frontal airbag,Manual,1210 kg,,,68PS@6000rpm,90Nm@3500rpm
30,Maruti Suzuki,Alto K10,Vxi,"Rs. 3,94,036",998 cc,Petrol,Hatchback,14 km/litre,17 km/litre,,August,BS IV,Driver frontal airbag,Manual,1210 kg,,,68PS@6200rpm,90Nm@3500rpm
31,Maruti Suzuki,Alto K10,Lx,"Rs. 3,60,843",998 cc,Petrol,Hatchback,19 km/litre,24.07 km/litre,,August,BS IV,Driver frontal airbag,Manual,1210 kg,,,68PS@6000rpm,90Nm@3500rpm
32,Maruti Suzuki,Alto K10,Vxi (O),"Rs. 4,07,238",998 cc,Petrol,Hatchback,14 km/litre,17 km/litre,,August,BS IV,Driver frontal airbag,Manual,1210 kg,,,68PS@6000rpm,90Nm@3500rpm
33,Maruti Suzuki,Alto K10,Lxi Cng (O),"Rs. 4,39,777",998 cc,CNG,Hatchback,,,,August,BS IV,Driver frontal airbag,Manual,1210 kg,,,59PS@6000rpm,78Nm@3500rpm
34,Maruti Suzuki,Alto K10,Vxi Amt (O),"Rs. 4,38,559",998 cc,Petrol,Hatchback,14 km/litre,17 km/litre,,August,BS IV,Driver frontal airbag,Automatic,1210 kg,,,68PS@6000rpm,90Nm@3500rpm
35,Datsun,Go,D,"Rs. 3,74,990",1198 cc,Petrol,Hatchback,,,,January,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,68PS@5000rpm,104Nm@4000rpm
36,Datsun,Go,T,"Rs. 4,68,229",1198 cc,Petrol,Hatchback,,,,January,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,68PS@5000rpm,104Nm@4000rpm
37,Datsun,Go,T (O),"Rs. 5,02,492",1198 cc,Petrol,Hatchback,20.6 km/litre,,,January,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,68PS@5000rpm,104Nm@4000rpm
38,Datsun,Go,A (O),"Rs. 4,99,990",1198 cc,Petrol,Hatchback,20.6 km/litre,,,January,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,68PS@5000rpm,104Nm@4000rpm
39,Datsun,Go,A,"Rs. 4,69,990",1198 cc,Petrol,Hatchback,20.6 km/litre,,,January,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,68PS@5000rpm,104Nm@4000rpm
40,Datsun,Go,T Vdc,"Rs. 5,28,464",1198 cc,Petrol,Hatchback,,,,January,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,68PS@5000rpm,104Nm@4000rpm
41,Datsun,Go,T (O) Vdc,"Rs. 5,53,015",1198 cc,Petrol,Hatchback,20.6 km/litre,,,January,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,68PS@5000rpm,104Nm@4000rpm
42,Datsun,Go,T Cvt,"Rs. 5,94,464",1198 cc,Petrol,Hatchback,,,,January,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,78PS@5000rpm,104Nm@4000rpm
43,Datsun,Go,T (O) Cvt,"Rs. 6,18,015",1198 cc,Petrol,Hatchback,20.6 km/litre,,,January,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,78PS@5000rpm,104Nm@4000rpm
44,Maruti Suzuki,Celerio Tour,H2,"Rs. 4,22,444",998 cc,Petrol,Hatchback,23 km/litre,,,February,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1250 kg,,,68PS@6000rpm,90Nm@3500rpm
45,Maruti Suzuki,Celerio Tour,H2 Cng,"Rs. 4,80,670",998 cc,CNG,Hatchback,,,,November,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1350 kg,,,59bhp@6000rpm,78Nm@3500rpm
54,Tata,Tiago,Revotron Xe,"Rs. 4,60,000",1199 cc,Petrol,Hatchback,,,,September,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,86PS@6000rpm,114NM@3300rpm
55,Tata,Tiago,Revotron Xt,"Rs. 5,20,000",1199 cc,Petrol,Hatchback,23.84 km/litre,23 km/litre,,September,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,86PS@6000rpm,114NM@3300rpm
56,Tata,Tiago,Revotron Xz,"Rs. 5,70,000",1199 cc,Petrol,Hatchback,23.84 km/litre,23 km/litre,,September,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Manual,,,,86PS@6000rpm,114NM@3300rpm
